date,train_start,train_end,validation_start,validation_end,train_samples,validation_samples,test_samples,prior_month_members,missing_test_labels,rolling_seed_offset
2023-01-01,2019-07-01,2022-06-01,2022-07-01,2022-12-01,10231,2173,357,488,0,114
2023-02-01,2019-08-01,2022-07-01,2022-08-01,2023-01-01,10281,2180,358,492,0,115
2023-03-01,2019-09-01,2022-08-01,2022-09-01,2023-02-01,10328,2186,362,497,0,116
2023-04-01,2019-10-01,2022-09-01,2022-10-01,2023-03-01,10379,2192,364,499,0,117
2023-05-01,2019-11-01,2022-10-01,2022-11-01,2023-04-01,10432,2196,367,497,0,118
2023-06-01,2019-12-01,2022-11-01,2022-12-01,2023-05-01,10485,2205,409,493,0,119
2023-07-01,2020-01-01,2022-12-01,2023-01-01,2023-06-01,10530,2217,369,496,0,120
2023-08-01,2020-02-01,2023-01-01,2023-02-01,2023-07-01,10567,2229,372,497,0,121
2023-09-01,2020-03-01,2023-02-01,2023-03-01,2023-08-01,10604,2243,373,497,0,122
2023-10-01,2020-04-01,2023-03-01,2023-04-01,2023-09-01,10787,2254,376,498,0,123
2023-11-01,2020-05-01,2023-04-01,2023-05-01,2023-10-01,10970,2266,378,496,0,124
2023-12-01,2020-06-01,2023-05-01,2023-06-01,2023-11-01,11157,2277,424,497,0,125
