date,asset,prediction
2011-09-01,A000,0.7800568
2011-09-01,A001,0.81572056
2011-09-01,A002,0.6028548
2011-09-01,A003,0.17960143
2011-09-01,A004,0.48223647
2011-09-01,A005,0.33058384
2011-09-01,A006,0.4099955
2011-09-01,A007,0.56046087
2011-09-01,A008,0.50544304
2011-09-01,A009,0.5674669
2011-09-01,A010,0.25961807
2011-09-01,A011,0.83544123
2011-09-01,A012,0.31409433
2011-09-01,A013,0.22594894
2011-09-01,A014,0.31064206
2011-09-01,A015,0.5787428
2011-09-01,A016,0.81829154
2011-09-01,A017,0.19563578
2011-09-01,A018,0.40064287
2011-09-01,A019,0.33982676
